Year,Units,Value
2007,CL_UNIT_MEASURE.NUMBER,114961
2008,CL_UNIT_MEASURE.NUMBER,120274
2009,CL_UNIT_MEASURE.NUMBER,124751
2010,CL_UNIT_MEASURE.NUMBER,133398
2011,CL_UNIT_MEASURE.NUMBER,142897
2012,CL_UNIT_MEASURE.NUMBER,150206
2013,CL_UNIT_MEASURE.NUMBER,162967
2014,CL_UNIT_MEASURE.NUMBER,168679
2015,CL_UNIT_MEASURE.NUMBER,174693
2016,CL_UNIT_MEASURE.NUMBER,178944
2017,CL_UNIT_MEASURE.NUMBER,183330
2018,CL_UNIT_MEASURE.NUMBER,187313
2007,CL_UNIT_MEASURE.PT,22
2008,CL_UNIT_MEASURE.PT,23
2009,CL_UNIT_MEASURE.PT,23
2010,CL_UNIT_MEASURE.PT,25
2011,CL_UNIT_MEASURE.PT,26
2012,CL_UNIT_MEASURE.PT,27
2013,CL_UNIT_MEASURE.PT,28
2014,CL_UNIT_MEASURE.PT,29
2015,CL_UNIT_MEASURE.PT,29
2016,CL_UNIT_MEASURE.PT,29
2017,CL_UNIT_MEASURE.PT,29
2018,CL_UNIT_MEASURE.PT,29
