Year,concept.COMPOSITE_BREAKDOWN,Value
2014,,665.9
2015,,810.1
2016,,934.5
2017,,921.5
2018,,962.4
2014,CL_COMP_BREAKDOWN._L_EEX_POL,56.2
2015,CL_COMP_BREAKDOWN._L_EEX_POL,71.5
2016,CL_COMP_BREAKDOWN._L_EEX_POL,60.4
2017,CL_COMP_BREAKDOWN._L_EEX_POL,52.7
2018,CL_COMP_BREAKDOWN._L_EEX_POL,64.1
2014,CL_COMP_BREAKDOWN._L_EEX_NATRES,93.3
2015,CL_COMP_BREAKDOWN._L_EEX_NATRES,114.1
2016,CL_COMP_BREAKDOWN._L_EEX_NATRES,145.8
2017,CL_COMP_BREAKDOWN._L_EEX_NATRES,131.7
2018,CL_COMP_BREAKDOWN._L_EEX_NATRES,136.5
2014,CL_COMP_BREAKDOWN._L_EEX_PROTAN,8.4
2015,CL_COMP_BREAKDOWN._L_EEX_PROTAN,9.4
2016,CL_COMP_BREAKDOWN._L_EEX_PROTAN,10.4
2017,CL_COMP_BREAKDOWN._L_EEX_PROTAN,9.8
2018,CL_COMP_BREAKDOWN._L_EEX_PROTAN,10.4
2014,CL_COMP_BREAKDOWN._L_EEX_PROTTPLN,1.6
2015,CL_COMP_BREAKDOWN._L_EEX_PROTTPLN,1.5
2016,CL_COMP_BREAKDOWN._L_EEX_PROTTPLN,1.5
2014,CL_COMP_BREAKDOWN._L_EEX_EPIS,61.2
2015,CL_COMP_BREAKDOWN._L_EEX_EPIS,46.6
2016,CL_COMP_BREAKDOWN._L_EEX_EPIS,109.3
2017,CL_COMP_BREAKDOWN._L_EEX_EPIS,105.6
2018,CL_COMP_BREAKDOWN._L_EEX_EPIS,153.6
2014,CL_COMP_BREAKDOWN._L_EEX_VET,109.3
2015,CL_COMP_BREAKDOWN._L_EEX_VET,107.2
2016,CL_COMP_BREAKDOWN._L_EEX_VET,150.8
2017,CL_COMP_BREAKDOWN._L_EEX_VET,134.6
2018,CL_COMP_BREAKDOWN._L_EEX_VET,245.1
2014,CL_COMP_BREAKDOWN._L_EEX_CHARPLN,42.5
2015,CL_COMP_BREAKDOWN._L_EEX_CHARPLN,60.1
2016,CL_COMP_BREAKDOWN._L_EEX_CHARPLN,88.8
2017,CL_COMP_BREAKDOWN._L_EEX_CHARPLN,85.9
2018,CL_COMP_BREAKDOWN._L_EEX_CHARPLN,132.2
2014,CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,277.1
2015,CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,392.6
2016,CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,358.6
2017,CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,231.4
2018,CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,212.8
2014,CL_COMP_BREAKDOWN._L_EEX_RD,6.7
2015,CL_COMP_BREAKDOWN._L_EEX_RD,7.1
2016,CL_COMP_BREAKDOWN._L_EEX_RD,6.3
2017,CL_COMP_BREAKDOWN._L_EEX_RD,6.3
2014,CL_COMP_BREAKDOWN._L_EEX_NES,9.6
2017,CL_COMP_BREAKDOWN._L_EEX_NES,163.5
2016,CL_COMP_BREAKDOWN._L_EEX_OTHER,2.6
2018,CL_COMP_BREAKDOWN._L_EEX_OTHER,7.7
